time;roll;pitch;yaw;alt
 6.31844E+01;-8.67364E-01; 3.24770E-01; 6.28041E+00; 0.00000E+00
 6.32844E+01;-8.57603E-01; 1.76910E-01; 6.27251E+00; 0.00000E+00
 6.33844E+01;-8.43466E-01; 1.14392E-01; 6.26105E+00; 0.00000E+00
 6.34844E+01;-8.25661E-01; 8.80315E-02; 6.24699E+00; 0.00000E+00
 6.35844E+01;-8.04854E-01; 7.70950E-02; 6.23060E+00; 0.00000E+00
 6.36844E+01;-7.81779E-01; 7.28115E-02; 6.21194E+00; 0.00000E+00
 6.37844E+01;-7.56933E-01; 7.03593E-02; 6.19116E+00; 0.00000E+00
 6.38844E+01;-7.30686E-01; 6.86752E-02; 6.16817E+00; 0.00000E+00
 6.39844E+01;-7.03350E-01; 6.81058E-02; 6.14307E+00; 0.00000E+00
 6.40844E+01;-6.75355E-01; 6.81305E-02; 6.11591E+00; 0.00000E+00
 6.41844E+01;-6.47164E-01; 6.82567E-02; 6.08669E+00; 0.00000E+00
 6.42844E+01;-6.19003E-01; 6.84290E-02; 6.05539E+00; 0.00000E+00
 6.43844E+01;-5.90957E-01; 6.83801E-02; 6.02206E+00; 0.00000E+00
 6.44844E+01;-5.63200E-01; 6.83655E-02; 5.98670E+00; 0.00000E+00
 6.45844E+01;-5.36106E-01; 6.82058E-02; 5.94946E+00; 0.00000E+00
 6.46844E+01;-5.09813E-01; 6.79579E-02; 5.91032E+00; 0.00000E+00
 6.47844E+01;-4.83987E-01; 6.81599E-02; 5.86936E+00; 0.00000E+00
 6.48844E+01;-4.58696E-01; 6.87046E-02; 5.82658E+00; 0.00000E+00
 6.49844E+01;-4.34290E-01; 6.87965E-02; 5.78217E+00; 1.10903E+02
 6.50844E+01;-4.10880E-01; 6.86840E-02; 5.73622E+00; 1.10903E+02
 6.51844E+01;-3.88570E-01; 6.89972E-02; 5.68873E+00; 1.10903E+02
 6.52844E+01;-3.67293E-01; 6.94942E-02; 5.63982E+00; 1.10903E+02
 6.53844E+01;-3.46803E-01; 7.02749E-02; 5.58949E+00; 1.10903E+02
 6.54844E+01;-3.27146E-01; 7.10479E-02; 5.53791E+00; 1.10903E+02
 6.55844E+01;-3.08337E-01; 6.97152E-02; 5.48528E+00; 1.10903E+02
 6.56844E+01;-2.90380E-01; 6.72165E-02; 5.43171E+00; 1.10903E+02
 6.57844E+01;-2.73444E-01; 6.62324E-02; 5.37732E+00; 1.10903E+02
 6.58844E+01;-2.57497E-01; 6.61533E-02; 5.32214E+00; 1.10903E+02
