#time, AccX[]
18.3625,-3.18339
18.3861,-3.08084
18.4059,-3.11226
18.426,-3.15478
18.4459,-3.14087
18.4661,-3.06861
18.4858,-3.07402
18.5057,-3.08668
18.526,-3.08869
18.5459,-3.06011
18.5662,-3.08944
18.5858,-3.21121
18.6058,-3.12673
18.626,-3.10864
18.6457,-3.04721
18.6658,-3.11444
18.6857,-3.11796
18.7057,-3.13578
18.7257,-3.10918
18.7459,-3.13659
18.7658,-3.06939
18.7858,-3.08136
18.8058,-3.02598
18.8258,-3.14106
18.8458,-3.15552
18.8658,-3.00055
18.8858,-3.04994
18.9058,-3.14233
18.9257,-3.13279
18.946,-3.17196
18.9658,-3.17788
18.9859,-3.19805
19.0058,-3.10887
19.0258,-3.05229
19.0459,-3.07305
19.0659,-3.00256
19.0857,-3.00536
19.1058,-3.03832
19.1258,-3.04557
19.1462,-3.08869
19.166,-3.13709
19.1858,-3.05174
19.2058,-3.03154
19.2258,-3.03545
19.246,-3.15616
19.2659,-3.08132
19.2858,-3.03563
19.3059,-3.1607
19.3258,-3.08049
19.3461,-3.03037
19.3681,-3.04891
19.3857,-3.11248
19.4058,-3.10067
19.4258,-3.1331
19.4461,-3.09502
19.4658,-3.11692
19.4858,-3.07085
19.5058,-3.15564
19.5258,-2.95316
19.5461,-2.98642
19.5658,-3.13513
19.5857,-3.10571
19.6059,-3.06677
19.6258,-3.12913
19.646,-3.17584
19.6657,-3.01468
19.6858,-3.04424
19.7059,-3.08589
19.7258,-3.12579
19.7461,-3.13072
19.7658,-3.08184
19.7859,-3.12366
19.8059,-3.16957
19.8259,-3.09252
19.8459,-3.15048
19.8658,-3.02442
19.8859,-3.0733
19.9058,-3.06975
19.9259,-3.09754
19.9461,-3.10833
19.9658,-3.03989
19.9857,-3.15824
20.0057,-3.10414
20.0258,-3.05805
20.0457,-3.03705
20.0658,-3.08006
20.0858,-3.11617
20.1057,-3.05729
20.1258,-3.09526
20.146,-3.09001
20.1661,-3.10993
20.1859,-2.97652
20.2057,-3.01976
20.2259,-3.04088
20.2458,-3.11012
20.2659,-3.17294
20.2859,-3.01057
20.3058,-3.01168
20.3257,-3.03669
20.3458,-3.1055
20.3659,-3.12949
20.3858,-3.02586
20.4057,-3.08992
20.4258,-3.12917
20.4458,-3.1093
20.4661,-3.0868
20.4858,-3.13903
20.5058,-3.07167
20.5259,-3.09573
20.5459,-3.12924
20.5661,-3.03816
20.5857,-3.07233
20.6058,-3.11086
20.6259,-3.06565
20.6459,-3.11782
20.666,-3.07079
20.6857,-3.08419
20.7058,-3.11376
20.7258,-3.10615
20.746,-3.01998
20.7661,-3.09534
20.7857,-3.21178
20.8058,-3.09531
20.8259,-3.07424
20.8457,-3.03763
20.866,-3.07577
20.8858,-3.06469
20.9058,-3.15501
20.9257,-3.11731
20.9458,-3.11352
20.966,-3.11914
20.9858,-3.04308
21.0057,-3.08607
21.0257,-3.06064
21.0457,-3.04797
21.0659,-3.03972
21.0858,-3.16981
21.1058,-3.12449
21.1258,-3.07806
21.1459,-3.12534
21.166,-3.18211
21.1857,-3.1075
21.2059,-3.17811
21.2257,-3.075
21.2459,-2.99926
21.2659,-3.06095
21.286,-3.1286
21.3058,-3.14536
21.3258,-3.11969
21.3458,-3.10617
21.3661,-3.13848
21.3858,-3.11041
21.4057,-3.01642
21.4257,-3.02412
21.4457,-3.10739
21.4659,-3.09206
21.4861,-3.10995
21.5058,-3.07529
21.5258,-3.07328
21.5459,-3.10813
21.5659,-3.10865
21.5859,-3.08775
21.6057,-3.01816
21.6259,-3.17651
21.6458,-3.11833
21.6657,-3.09022
21.686,-3.11964
21.7058,-3.12412
21.7257,-3.09052
21.7457,-3.04467
21.7661,-3.06463
21.7858,-3.07102
21.8058,-3.05614
21.8256,-3.10267
21.8458,-3.08153
21.8657,-3.1065
21.886,-3.1871
21.9059,-3.12829
21.9256,-3.12189
21.9459,-3.02916
21.9659,-3.13163
21.9859,-3.12769
22.0058,-3.11914
22.0258,-3.08536
22.0458,-3.05354
22.0658,-3.05804
22.0858,-3.11504
22.1058,-2.95124
22.1259,-3.17083
22.1458,-3.06463
22.166,-3.10085
22.1858,-3.12444
22.2057,-3.1202
22.2258,-3.07057
22.2458,-3.06873
22.2659,-3.12595
22.2858,-3.07213
22.3057,-3.08744
22.326,-3.06543
22.3458,-3.05587
22.3661,-3.06425
22.3857,-3.09638
22.4058,-3.14656
22.4259,-3.16506
22.4457,-3.08926
22.4657,-3.11673
22.4859,-3.0708
22.506,-3.11484
22.5258,-3.17393
22.5458,-3.09043
22.5661,-3.08557
22.5858,-2.98693
22.6059,-3.06407
22.6259,-3.06838
22.6458,-3.16017
22.6659,-3.09218
22.6858,-3.09723
22.7059,-3.11653
22.7258,-3.12238
22.7459,-3.08387
22.7661,-3.14489
22.7859,-3.1663
22.8058,-3.08582
22.8257,-3.14216
22.8458,-3.08328
22.8659,-3.11746
22.8858,-3.12422
22.906,-3.11085
22.9258,-3.10507
22.9459,-3.00377
22.9659,-3.01835
22.9859,-3.12224
23.0059,-3.06681
23.0258,-3.08452
23.0457,-3.0828
23.0658,-3.13101
23.0857,-3.03589
23.1059,-3.11157
23.1258,-3.12628
