#time, GyrY[]
18.3625,-0.000567953
18.3861,0.00960229
18.4059,0.00256417
18.426,-0.00166134
18.4459,0.00498095
18.4661,0.0094283
18.4858,-0.00154382
18.5057,-0.000785447
18.526,0.00785574
18.5459,0.00877484
18.5662,0.000636774
18.5858,-0.00271599
18.6058,0.000723502
18.626,0.00618858
18.6457,0.00854766
18.6658,0.00685921
18.6857,0.00296588
18.7057,0.00852339
18.7257,0.00562903
18.7459,0.0107345
18.7658,0.00885701
18.7858,0.00629931
18.8058,0.00906759
18.8258,0.0024207
18.8458,0.00373053
18.8658,-0.00285195
18.8858,0.00719063
18.9058,0.00506332
18.9257,-0.00494581
18.946,0.00434416
18.9658,0.0128121
18.9859,0.00846835
19.0058,0.0113919
19.0258,0.00926458
19.0459,0.0122324
19.0659,0.0144406
19.0857,0.00215708
19.1058,0.00985111
19.1258,0.00525624
19.1462,0.00713423
19.166,0.000920931
19.1858,0.0115055
19.2058,0.00445462
19.2258,-0.00109209
19.246,-0.00169619
19.2659,0.00653435
19.2858,0.00987234
19.3059,0.0133301
19.3258,0.0111934
19.3461,0.0191598
19.3681,0.0129184
19.3857,0.00613577
19.4058,0.00442003
19.4258,0.0117458
19.4461,0.00832351
19.4658,0.0114354
19.4858,0.0104851
19.5058,0.0116597
19.5258,0.00504303
19.5461,0.00593162
19.5658,0.000494573
19.5857,-0.00107416
19.6059,0.00061575
19.6258,0.00495056
19.646,0.0118421
19.6657,0.0078726
19.6858,0.00704387
19.7059,-0.00166324
19.7258,0.0031737
19.7461,0.00475617
19.7658,0.00458194
19.7859,0.000449414
19.8059,0.00429488
19.8259,0.0101277
19.8459,0.0106835
19.8658,0.0122431
19.8859,0.00803418
19.9058,0.00657283
19.9259,0.00391696
19.9461,0.00771312
19.9658,0.00683089
19.9857,0.00256393
20.0057,0.00201924
20.0258,0.0124627
20.0457,0.0086156
20.0658,0.00580638
20.0858,0.0134125
20.1057,0.0119799
20.1258,0.00194807
20.146,0.0109577
20.1661,-0.000727828
20.1859,0.00849959
20.2057,-0.00341874
20.2259,0.0119284
20.2458,0.0112832
20.2659,0.0144437
20.2859,0.00987765
20.3058,-0.0014665
20.3257,-0.00382159
20.3458,-0.00374649
20.3659,0.013709
20.3858,0.00708983
20.4057,-0.0054175
20.4258,-0.00395429
20.4458,-0.000722564
20.4661,0.000897505
20.4858,0.000194725
20.5058,0.000296176
20.5259,0.0122289
20.5459,0.0170276
20.5661,0.0181281
20.5857,0.00817434
20.6058,-0.000634632
20.6259,-0.00101788
20.6459,0.00418599
20.666,0.00489933
20.6857,0.0067182
20.7058,0.00695477
20.7258,0.00197069
20.746,0.00746853
20.7661,0.00931368
20.7857,0.00959069
20.8058,0.00747911
20.8259,0.0133318
20.8457,0.0082603
20.866,-5.10521e-05
20.8858,9.69692e-05
20.9058,0.000541744
20.9257,0.0140906
20.9458,0.0147471
20.966,0.0153674
20.9858,0.00274243
21.0057,-0.00114941
21.0257,-0.00508192
21.0457,0.00651246
21.0659,0.0059337
21.0858,-0.00268928
21.1058,0.00935051
21.1258,0.0168366
21.1459,0.0169723
21.166,0.00277279
21.1857,-0.0012695
21.2059,0.00356343
21.2257,0.0189624
21.2459,0.0153384
21.2659,0.00608835
21.286,-0.000538259
21.3058,-0.00737994
21.3258,0.00738065
21.3458,0.00554151
21.3661,0.00581352
21.3858,0.00966847
21.4057,0.00978873
21.4257,0.00283853
21.4457,0.000714711
21.4659,-0.00105398
21.4861,0.00795001
21.5058,0.0198812
21.5258,0.00911799
21.5459,0.00223331
