#time, GyrZ[]
18.3625,-0.00549156
18.3861,0.0019828
18.4059,-0.00367049
18.426,-0.00238705
18.4459,9.50015e-05
18.4661,-0.00379544
18.4858,-0.00152459
18.5057,-0.00106983
18.526,-0.000734759
18.5459,-0.0111462
18.5662,-0.00704729
18.5858,-0.00206187
18.6058,-0.00493255
18.626,-0.000152827
18.6457,0.00292319
18.6658,0.00382505
18.6857,0.00143273
18.7057,-0.000939647
18.7257,0.00848668
18.7459,0.00667541
18.7658,0.00597686
18.7858,-0.00033478
18.8058,-0.00160122
18.8258,0.00240421
18.8458,-0.000743951
18.8658,0.00299011
18.8858,-0.00329633
18.9058,0.00123905
18.9257,-0.00425428
18.946,0.00099041
18.9658,-2.20653e-05
18.9859,0.00256263
19.0058,0.000628533
19.0258,-0.00425523
19.0459,0.00433324
19.0659,0.00347069
19.0857,-0.00283059
19.1058,-0.0045398
19.1258,-0.0025222
19.1462,-0.000992325
19.166,0.00333072
19.1858,-0.00112432
19.2058,0.00444684
19.2258,0.000222724
19.246,-0.00282495
19.2659,-0.00167083
19.2858,0.00420548
19.3059,0.00191581
19.3258,0.0034794
19.3461,-0.00122376
19.3681,0.000822757
19.3857,0.00287781
19.4058,0.00150271
19.4258,8.49196e-05
19.4461,0.00586639
19.4658,0.00695463
19.4858,0.00397184
19.5058,0.00440213
19.5258,0.0024756
19.5461,-0.0047174
19.5658,-0.00651613
19.5857,-0.00530957
19.6059,0.00142524
19.6258,-0.00433982
19.646,-0.000910501
19.6657,-0.00219701
19.6858,-4.85305e-06
19.7059,-0.00550043
19.7258,-0.0064485
19.7461,-0.00222775
19.7658,-0.00276435
19.7859,0.00211369
19.8059,-0.000332278
19.8259,-0.000949305
19.8459,-0.00559483
19.8658,-0.00156393
19.8859,0.00250658
19.9058,-0.00195336
19.9259,-0.00768819
19.9461,-0.00491795
19.9658,-0.000740002
19.9857,0.00233978
20.0057,-0.00450609
20.0258,-0.00800716
20.0457,0.00317476
20.0658,0.000881189
20.0858,-0.00550811
20.1057,-0.00167839
20.1258,0.00801773
20.146,0.0003267
20.1661,0.00311557
20.1859,0.00269584
20.2057,-0.0018465
20.2259,0.00163346
20.2458,-0.00343682
20.2659,-0.00173878
20.2859,-4.90597e-05
20.3058,0.00334979
20.3257,-0.00245252
20.3458,-0.00270356
20.3659,-0.00363383
20.3858,-0.00251931
20.4057,-0.00214271
20.4258,0.000805723
20.4458,-0.00576523
20.4661,-0.00208977
20.4858,-0.00181553
20.5058,0.00125563
20.5259,0.00330478
20.5459,0.00592529
20.5661,0.00129782
20.5857,-0.000118131
20.6058,-0.00402995
20.6259,-0.000876833
20.6459,-0.00342308
20.666,-0.00520529
20.6857,-0.00266652
20.7058,0.00445886
20.7258,-0.00665692
20.746,-0.00232071
20.7661,-0.00085803
20.7857,0.00104822
20.8058,0.000147793
20.8259,-0.00344843
20.8457,-0.00027657
20.866,-0.00355439
20.8858,-0.00109306
20.9058,0.00152243
20.9257,-0.00420535
20.9458,0.00322265
20.966,0.000429171
20.9858,-0.000107495
21.0057,0.0020482
21.0257,0.00224379
21.0457,-0.00227238
21.0659,-0.0058886
21.0858,0.00185741
21.1058,-0.00632026
21.1258,-0.00879926
21.1459,-0.00612084
21.166,0.0045931
21.1857,0.00529069
21.2059,0.00816279
21.2257,0.000459769
21.2459,-0.00364333
21.2659,0.000387353
21.286,-0.00545567
21.3058,0.000818394
21.3258,-0.000111557
21.3458,-0.00162323
21.3661,-0.00751341
21.3858,0.00108333
21.4057,0.0015134
21.4257,-0.00364083
21.4457,0.00182358
21.4659,-0.00213132
21.4861,-0.00230346
21.5058,0.000267953
21.5258,-0.00388563
21.5459,0.00570792
21.5659,0.000803597
21.5859,0.00233195
21.6057,-0.00196366
21.6259,-0.00552842
21.6458,-0.000174799
21.6657,0.00413256
21.686,0.00272306
21.7058,-0.000452067
21.7257,0.0025916
21.7457,0.00204032
21.7661,-0.00705419
21.7858,-0.00579289
21.8058,0.00194112
21.8256,0.000947892
21.8458,-0.00122077
21.8657,-0.00260151
21.886,-0.00114325
21.9059,0.00324174
21.9256,-0.00211503
21.9459,0.00256085
21.9659,-0.000658779
21.9859,-0.0033391
22.0058,0.00155903
22.0258,-0.00422567
22.0458,0.00445545
22.0658,0.00492475
22.0858,-0.00185031
22.1058,-0.00518213
22.1259,-0.00550097
22.1458,-0.00294978
22.166,0.000363849
22.1858,-0.00412529
22.2057,0.00321565
22.2258,0.00541904
22.2458,0.000311425
22.2659,-0.000946579
22.2858,0.006589
22.3057,0.000979767
22.326,0.00105266
22.3458,0.00165883
22.3661,-0.00283256
22.3857,0.00246602
22.4058,0.000421673
22.4259,-0.000876256
22.4457,-0.00436845
22.4657,-0.00470288
22.4859,-0.00140024
22.506,-0.00184127
22.5258,-0.00359266
22.5458,-0.00200283
22.5661,0.00247551
22.5858,-0.00375018
22.6059,-0.00700908
22.6259,-0.00340533
