#time, AccY[]
21.2242,-0.70044
21.2446,-0.640199
21.2634,-0.722208
21.2835,-0.671602
21.3034,-0.704291
21.3235,-0.643395
21.3434,-0.698035
21.3634,-0.713344
21.3836,-0.666873
21.4035,-0.754113
21.4235,-0.778631
21.4436,-0.73218
21.4633,-0.751841
21.4835,-0.825001
21.5035,-0.775657
21.5234,-0.680951
21.5437,-0.716792
21.5632,-0.677045
21.5835,-0.655157
21.6035,-0.678978
21.6234,-0.81004
21.6436,-0.781822
21.6632,-0.703492
21.6835,-0.588155
21.7034,-0.701977
21.7234,-0.74991
21.7435,-0.694702
21.7635,-0.673408
21.7835,-0.696452
21.8036,-0.876052
21.8234,-0.855124
21.8436,-0.715783
21.8633,-0.838578
21.8833,-0.724035
21.9034,-0.61322
21.9233,-0.587361
21.9434,-0.938371
21.9634,-0.893153
21.9836,-0.557797
22.0035,-0.656673
22.0234,-0.722581
22.0434,-0.687126
22.0633,-0.598423
22.0833,-0.658048
22.1034,-0.829368
22.1235,-0.747506
22.1435,-0.687988
22.1636,-0.900861
22.1837,-0.922123
22.2033,-0.659334
22.2235,-0.780417
22.2471,-0.557193
22.2645,-0.587643
22.2843,-0.777951
22.3044,-0.729178
22.326,-0.726935
22.3452,-0.880443
22.3647,-0.68735
22.3846,-0.417017
22.4043,-0.33968
22.4245,-0.62002
22.4442,-0.766733
22.4644,-0.578065
22.4843,-0.881949
22.5047,-0.954865
22.5244,-0.740756
22.5441,-0.429359
22.5648,-0.590302
22.5854,-0.662209
22.6046,-0.706693
22.6243,-0.555918
22.6442,-0.584469
22.6643,-0.703594
22.6851,-0.738975
22.7047,-0.708111
22.7244,-0.588764
22.7443,-0.70062
22.7647,-0.683848
22.7857,-0.620855
22.8047,-0.624182
22.8243,-0.599044
22.8443,-0.577644
22.8644,-0.675849
22.8853,-0.639658
22.9047,-0.670634
22.9244,-0.605698
22.9443,-0.658368
22.9645,-0.618513
22.9854,-0.674434
23.0046,-0.650977
23.0243,-0.666352
23.0443,-0.557569
23.0643,-0.66236
23.0853,-0.69886
23.1047,-0.652803
23.1245,-0.718442
23.1443,-0.689536
23.1646,-0.634574
23.1855,-0.679927
23.2047,-0.690701
23.2243,-0.617432
23.2444,-0.655008
23.2643,-0.69355
23.2853,-0.652412
23.3047,-0.65889
23.3245,-0.655419
23.3444,-0.703384
23.3648,-0.665208
23.3856,-0.598021
23.4046,-0.681929
23.4246,-0.715402
23.4443,-0.725595
23.4643,-0.648462
23.4852,-0.673142
23.5047,-0.686845
23.5244,-0.631694
23.5445,-0.712749
23.5646,-0.694519
23.5855,-0.596848
23.6045,-0.583322
23.6243,-0.64097
23.6442,-0.659911
23.6642,-0.618606
23.6853,-0.605464
23.7047,-0.565692
23.7243,-0.646
23.7442,-0.666756
23.7646,-0.624652
23.7855,-0.656916
23.8047,-0.612685
23.8245,-0.655512
23.8443,-0.687095
23.8642,-0.666907
23.8852,-0.636881
23.9048,-0.644323
23.9244,-0.590429
23.9442,-0.611363
23.9646,-0.649842
23.9854,-0.607749
24.0048,-0.660241
24.0243,-0.680951
24.0441,-0.660193
24.0643,-0.716601
24.0851,-0.63327
24.1048,-0.706962
