#time, GyrX[]
21.2242,-0.00304425
21.2446,0.00562335
21.2634,0.00200267
21.2835,0.011869
21.3034,0.00444449
21.3235,0.00233145
21.3434,0.0144067
21.3634,0.0144583
21.3836,0.0166219
21.4035,0.024445
21.4235,0.0190616
21.4436,0.0142887
21.4633,0.0196249
21.4835,0.0103237
21.5035,-0.000476771
21.5234,0.00117643
21.5437,0.0094771
21.5632,0.00981285
21.5835,0.012528
21.6035,0.0147339
21.6234,0.0271746
21.6436,0.0273317
21.6632,0.0158482
21.6835,0.0155778
21.7034,0.0143441
21.7234,0.0107232
21.7435,0.00659242
21.7635,0.00407953
21.7835,0.0107168
21.8036,0.00995119
21.8234,0.000408952
21.8436,-0.00109713
21.8633,-0.00115821
21.8833,0.0235522
21.9034,-0.0406162
21.9233,-0.0533962
21.9434,-0.00263087
21.9634,-0.0147404
21.9836,-0.0106119
22.0035,-0.00379688
22.0234,0.00157041
22.0434,-0.00523778
22.0633,-0.0109641
22.0833,-0.0103711
22.1034,-0.0064473
22.1235,0.00300892
22.1435,0.00694343
22.1636,-0.0145263
22.1837,-0.0271521
22.2033,-0.0220462
22.2235,-0.00403054
22.2471,0.00974002
22.2645,-0.000408916
22.2843,-0.0141544
22.3044,-0.0268469
22.326,-0.0351194
22.3452,-0.0428178
22.3647,-0.0399372
22.3846,-0.0280545
22.4043,-0.0166624
22.4245,-0.013331
22.4442,-0.0055717
22.4644,-0.0264781
22.4843,-0.0163416
22.5047,0.0102731
22.5244,-0.0105197
22.5441,-0.00666792
22.5648,0.0018367
22.5854,-0.00262693
22.6046,-0.00288591
22.6243,0.00062579
22.6442,-0.00353939
22.6643,-0.00149766
22.6851,-0.000851337
22.7047,-0.00586595
22.7244,-0.00317876
22.7443,-0.00207426
22.7647,-0.00443404
22.7857,-0.000891598
22.8047,0.00103748
22.8243,-0.00505926
22.8443,0.00204138
22.8644,-0.00205953
22.8853,0.00232569
22.9047,0.00084285
22.9244,0.00127843
22.9443,-0.00510751
22.9645,-0.00129772
22.9854,-0.00218533
23.0046,0.00198732
23.0243,0.00624262
23.0443,0.00111388
23.0643,-0.00344981
23.0853,0.00111846
23.1047,0.000416205
23.1245,0.000760683
23.1443,-0.00132249
23.1646,0.0028012
23.1855,0.00126709
23.2047,-0.00200246
23.2243,0.00331676
23.2444,0.00223797
23.2643,3.35445e-05
23.2853,0.000689919
23.3047,0.00284569
23.3245,-0.0044353
23.3444,-0.00107013
23.3648,-0.000379016
23.3856,-0.00391639
23.4046,0.00128955
23.4246,0.002585
23.4443,0.0037571
23.4643,0.00168353
23.4852,0.00129498
23.5047,-0.00645058
23.5244,0.000712119
23.5445,-0.00279035
23.5646,0.00165251
23.5855,0.00202311
23.6045,-0.000457461
23.6243,-0.00239293
23.6442,0.00166992
23.6642,0.000666968
23.6853,-0.00366812
23.7047,0.000143113
23.7243,0.00207854
23.7442,-0.000223832
23.7646,0.00323726
23.7855,0.00281268
23.8047,-0.00180393
23.8245,0.00340492
23.8443,0.00381261
23.8642,0.00465931
23.8852,0.00347139
23.9048,0.00436444
23.9244,0.00591676
23.9442,0.00191821
23.9646,7.09197e-06
23.9854,0.00126092
24.0048,-0.000656411
24.0243,0.000698631
24.0441,0.00035206
24.0643,-0.000795791
24.0851,-0.00188899
24.1048,-0.00333603
24.1244,0.00195366
24.1442,0.000590521
24.1647,0.000396271
24.1855,0.00336399
24.2048,0.00261252
24.2244,0.00456336
24.2442,0.00560743
24.2642,0.00280536
24.2852,0.000602635
24.3049,-0.00104475
24.3245,0.00292536
24.3444,0.00226856
24.3647,0.00434521
24.3853,-0.00155258
24.405,0.000298417
24.4245,0.000950081
24.4443,-0.00288206
24.4643,0.00113887
24.4852,-0.000599651
24.505,0.000520672
24.5245,0.000103111
24.5442,-0.000278115
24.5648,0.00139316
24.5851,0.0013576
24.6049,-0.00313288
24.6244,0.00115793
24.6442,-0.00386662
24.6642,0.00590528
24.6852,0.00402713
24.7049,0.00459841
24.7245,0.0040365
24.7443,-0.00030481
24.7647,0.00457723
24.7854,-0.000870442
24.8047,0.00144216
24.8246,0.0013087
24.8442,-0.000920817
24.8643,0.00144554
24.8852,0.00333354
24.9048,0.00311646
24.9246,0.00510875
24.9442,-0.00323675
24.9645,0.000833833
24.9855,0.000881552
25.0046,0.00294408
25.0244,0.00143769
25.0443,0.0001387
25.0643,0.00411106
25.0852,-2.34804e-05
25.1047,0.00124723
25.1244,-0.000630001
25.1443,-0.00146433
25.1647,-0.00264413
25.1854,0.000246948
25.2046,0.00573203
25.2246,0.00238258
25.2442,0.000885194
25.2642,0.00397584
25.2851,0.00071509
25.3046,0.00297625
25.3245,-0.00449347
25.3443,-0.0021082
25.3648,0.00449743
25.3854,0.00456868
25.4047,0.00680099
25.4244,0.00241671
25.4443,-0.00124549
25.4642,0.00226705
25.4851,0.000249095
25.5046,0.0020185
25.5247,-0.000721399
25.5443,-0.00180107
25.5647,-0.000870396
25.5856,-0.00378542
25.6046,0.0013145
25.6245,0.00160445
25.6442,-0.000418311
25.6642,-0.00265202
25.6851,-0.0020273
25.7046,0.000304737
25.7246,-0.00428286
25.7441,7.85374e-05
25.7648,0.000831353
25.7854,0.00538026
25.8047,-0.000490482
25.8244,0.00256743
25.8444,-0.000305363
25.8643,0.00585972
25.8851,-0.00531733
25.9047,-0.0021448
25.9244,0.00515298
25.9444,0.00186107
25.9648,0.00403909
25.9853,-0.00185086
26.0047,0.000528219
26.0243,-0.00065538
26.0442,0.0031782
26.0643,0.00238078
26.0852,0.00598214
26.1046,-0.000616873
26.1244,-0.000122156
26.1444,-0.00157027
26.1646,-0.00190148
26.1854,-0.000381465
26.2047,-0.00172425
26.2244,-0.00131726
26.2444,0.000208517
26.2643,0.00342993
26.2851,0.00802444
26.3047,-0.00258723
26.3243,0.00421831
26.3444,-0.00142011
26.3647,0.000134062
26.3855,0.00309606
26.4046,-0.00178912
26.4243,-0.000971538
26.4445,0.001224
26.4643,0.00390147
26.4853,0.00521411
26.5047,0.0029167
26.5244,0.000838768
26.5445,-0.00106278
26.5649,0.00476728
26.5855,0.00171374
26.6048,0.00524675
26.6244,0.00090881
26.6444,-0.000435351
26.6642,0.00130061
26.6852,-0.00286124
26.7047,0.000459759
26.7244,-0.0035262
26.7445,0.000286005
26.7648,0.00286272
26.7855,-0.000519646
26.8047,0.000157586
26.8244,0.00128946
26.8442,0.00199126
26.8644,-4.21942e-05
26.8852,0.00178687
26.9046,-0.00223786
26.9244,0.00183162
26.9442,-0.000267023
26.9648,-0.00489096
26.9853,0.00320271
27.0047,-0.000765556
27.0243,-0.00133061
27.0442,-0.00154072
27.0641,0.000905464
27.0851,0.00373016
27.1046,0.000200612
27.1244,0.00147797
27.1443,0.00327063
27.1648,0.00166335
27.1854,0.00108896
27.2047,0.00187362
27.2244,-0.00156843
27.2443,0.000551638
27.2643,0.000238537
27.2851,0.00167085
27.3046,-0.000611819
27.3244,-0.000983433
27.3441,0.000134637
27.3648,0.00084956
27.3856,-0.00078442
27.4048,0.00405999
27.4243,0.00438785
27.4441,0.00205349
27.4644,-0.000842108
27.4854,0.00237181
27.5048,0.000914687
27.5246,0.00112979
27.5442,-0.00103814
27.5648,0.00240514
27.5856,0.00609012
27.6047,0.000688633
27.6244,-0.00109914
27.6442,-0.00449961
27.6646,0.00183203
27.6852,0.00523428
27.7047,0.00221865
27.7243,0.00532473
27.7442,0.00264565
27.7647,0.00122314
27.7855,0.00445637
27.8047,-0.00452934
27.8244,-0.00193711
27.8443,0.00217228
27.8643,-0.00234993
27.8854,0.000263805
27.9047,-0.000842606
27.9244,0.00425144
27.9443,-0.00181162
27.9647,0.00494898
27.9856,0.00141474
28.0046,3.9477e-05
28.0244,0.00103994
28.0443,-0.000218229
28.0643,-0.000403519
28.0852,0.00269022
28.1047,0.00353463
28.1243,-0.00478491
28.1443,0.00489373
28.1647,0.00172424
28.1856,0.00107424
28.2046,0.00273267
28.2243,0.00397755
28.2443,0.00605083
28.2641,0.00110373
28.2853,0.00294158
28.3048,0.00502974
28.3244,0.00163915
28.3441,0.00401755
28.3647,0.00129291
28.3854,0.00172639
28.4046,-0.000403717
28.4244,0.000695146
28.4442,0.00209647
28.4643,-0.00512198
28.4852,-0.0019644
28.5046,0.00221039
28.5246,-0.00416558
28.5443,0.00311361
28.5649,0.00158927
28.5856,0.00358096
28.6048,-0.0015555
28.6245,0.00100695
28.6442,-0.000425175
28.6643,-0.00066739
28.6854,0.00329941
28.7048,0.00435184
28.7244,0.00392123
28.7443,0.000932922
28.7647,0.00112832
28.7856,-0.000830448
28.8047,-0.00299931
28.8244,0.00127883
28.8443,-0.00330334
28.8641,0.00130466
28.8852,0.00291018
28.9048,-0.00142878
28.9245,0.00488614
28.9443,-0.00286169
28.9647,0.00168806
28.9855,0.00108028
29.0048,0.00544618
29.0243,0.00276289
29.0442,-0.000976707
29.0642,0.00147387
29.0851,-0.00240567
29.1047,-0.00228029
29.1244,0.00376745
29.1441,-0.00321666
29.1647,-0.00129882
29.1851,0.00143047
29.2047,-0.00484268
29.2244,0.00102008
29.2443,0.000528975
29.2643,-0.00341684
29.2851,-0.0015387
29.3049,0.00415922
29.3245,-0.00291922
29.3444,0.00120732
29.3645,0.000847604
29.3852,-0.00495538
29.4047,0.00412816
29.4245,0.00809488
29.4442,-0.000586174
29.4643,0.0025907
29.4851,7.86131e-05
29.5048,0.00104569
29.5244,0.00327247
29.5447,-0.000114212
29.5646,0.00475628
29.5852,0.00028651
29.6049,-0.000596811
29.6246,0.00030384
29.6442,0.00354899
29.6642,-0.00235921
29.6852,0.00231078
29.705,0.00298518
29.7247,-0.00250999
29.7447,0.000237128
29.7643,-0.00302846
29.7851,-0.000302659
29.8048,0.0011939
29.8244,0.00450354
29.8443,0.00261051
29.8642,0.000154971
29.8852,0.00205647
29.9047,0.00166967
29.9247,0.00119837
29.9445,0.00221553
29.9642,-0.00111436
29.9853,0.000533298
30.0048,-0.00194751
30.0245,0.000245508
30.0442,-0.00151211
30.0642,-0.000796563
30.0852,0.00151449
30.1046,-0.00456152
30.1247,-0.00354243
30.1443,0.000808524
30.1642,0.0047033
30.1853,-0.00109374
30.2046,0.00122596
30.2246,-0.00192907
30.2442,0.00117479
30.2642,0.00515522
30.2852,0.000282577
30.3046,-5.06685e-05
30.325,0.000698074
30.3442,0.00240348
30.3641,0.000496368
30.3853,0.00190316
30.4046,-0.000212632
30.4245,-0.00667185
30.4442,0.000686144
30.4643,0.00426564
30.4852,-0.0031845
30.5047,-0.00332643
30.5249,-0.00253273
30.5443,0.00225045
30.5643,-0.00280138
30.5853,0.00492778
30.6047,-0.00130013
30.6247,0.00631465
30.6442,0.00272933
30.6642,-0.00227348
30.6851,-0.00202441
30.7051,0.00319563
30.7247,-0.00222545
30.7443,0.001857
30.7643,-0.000632013
30.7854,0.00474936
30.8048,0.00204595
30.8244,0.00218241
30.8444,0.00132365
30.8643,-0.00171468
30.8851,-0.00184853
30.9049,0.00436831
30.9247,-0.00225505
30.9444,-0.00115805
30.9643,0.00137414
30.9853,-0.00221851
31.0047,0.00142611
31.0244,-0.00247383
31.0444,-8.79988e-05
31.0642,-6.91856e-05
31.0852,-0.00479017
31.1052,-0.000523353
31.1243,0.0019
31.1442,0.00472997
31.1643,0.0020377
31.1853,-0.00258562
31.2047,0.000113701
31.2244,0.000554427
31.2444,0.00268262
31.2643,-0.00256606
31.2853,-0.00268627
