#time, Yaw[]
22.2478,0
22.2853,0
22.3267,2.81
22.3655,2.81
22.4052,2.81
22.4447,2.81
22.4851,2.81
22.5251,2.81
22.5654,2.81
22.6053,2.81
22.6447,2.81
22.6857,2.81
22.7253,2.81
22.7652,2.81
22.8053,2.81
22.8448,2.81
22.8858,2.81
22.9251,2.81
22.9651,2.81
23.0054,2.81
23.0448,2.81
23.086,2.81
23.1251,2.81
23.1652,2.81
23.2061,2.81
23.2452,2.81
23.2861,2.81
23.3255,2.81
23.3655,2.81
23.4059,2.81
23.4448,2.81
23.4858,2.81
23.525,2.81
23.5651,2.81
23.6053,2.81
23.6448,2.81
23.6858,2.81
23.7253,2.81
23.7652,2.81
23.8055,2.82
23.8448,2.82
23.8857,2.82
23.9251,2.82
23.965,2.82
24.0055,2.82
24.0448,2.82
24.0856,2.82
24.1251,2.82
24.1652,2.82
24.2072,2.82
24.2449,2.82
24.2857,2.82
24.3256,2.82
24.3654,2.82
24.406,2.82
24.4448,2.82
24.486,2.82
24.5252,2.82
24.5653,2.82
24.6054,2.82
24.6448,2.82
24.6856,2.82
24.7255,2.82
24.7652,2.82
24.8054,2.82
24.8447,2.82
24.8857,2.82
24.9252,2.82
24.9651,2.82
25.0052,2.82
25.0448,2.82
25.0857,2.82
25.1251,2.82
25.1652,2.82
25.2062,2.82
25.2449,2.82
25.2857,2.82
25.3253,2.82
25.3654,2.82
25.4057,2.82
25.4452,2.82
25.4856,2.82
25.5256,2.82
25.5653,2.82
25.6054,2.82
25.6448,2.82
25.6856,2.82
25.7255,2.82
25.7652,2.82
25.8053,2.82
25.8449,2.82
25.8856,2.82
25.9251,2.82
25.9654,2.82
26.0056,2.82
26.0447,2.82
26.0856,2.82
26.125,2.82
26.1652,2.82
26.2062,2.82
26.2451,2.82
26.2856,2.82
26.325,2.82
26.3656,2.82
26.4053,2.82
26.4453,2.82
26.4858,2.82
26.5251,2.82
26.5659,2.82
26.6055,2.82
26.6449,2.82
26.6857,2.82
26.7253,2.82
26.7653,2.82
26.8053,2.82
26.8448,2.82
26.8856,2.82
26.925,2.82
26.9654,2.82
27.0055,2.82
27.0447,2.82
27.0858,2.82
27.1252,2.82
27.1653,2.82
27.2065,2.82
27.2449,2.82
27.2857,2.82
27.325,2.82
27.3658,2.82
27.4058,2.82
27.4449,2.82
27.4861,2.82
27.5252,2.82
27.5654,2.82
27.6058,2.82
27.6448,2.82
27.6856,2.82
27.7252,2.81
27.7652,2.81
27.8054,2.81
