#time, fix[]
27.9231,0
28.0281,0
28.1331,0
28.2381,0
28.3431,0
28.4481,0
28.5531,0
28.6581,0
28.7631,0
28.8681,0
28.9731,0
29.0781,0
29.1831,0
29.2881,0
29.3931,0
29.4981,0
29.6031,0
29.7081,0
29.8131,0
29.9181,0
30.0231,0
30.1281,0
30.2331,0
30.3381,0
30.4431,0
30.5481,2
30.6531,2
30.7581,2
30.8631,2
30.9681,2
31.0731,2
31.1781,2
31.2831,2
31.3881,2
31.4931,2
31.5981,2
31.7031,2
31.8081,2
31.9131,2
32.0181,2
32.1231,2
32.2281,2
32.3331,2
32.4381,2
32.5431,2
32.6481,2
32.7531,2
32.8581,2
32.9647,2
33.0681,2
33.1731,2
33.2781,2
33.3831,2
33.4881,2
33.5931,2
33.6981,2
33.8031,2
33.9081,2
34.0131,2
34.1181,2
34.2231,2
34.3281,2
34.4331,2
34.5381,2
34.6431,2
34.7481,2
34.8531,2
34.9581,2
35.0631,2
35.1681,2
35.2731,2
35.3781,2
35.4831,2
35.5881,2
35.6931,2
35.7981,2
35.9031,2
36.0081,2
36.1131,2
36.2181,2
36.3231,2
36.4281,2
36.5331,2
36.6381,2
36.7431,2
36.8481,2
36.9531,2
37.0581,2
37.1631,2
37.2681,2
37.3731,2
37.4781,2
37.5831,2
37.6881,2
37.7931,2
37.8981,2
38.0031,2
38.1081,2
38.2147,2
38.3181,2
38.4231,2
38.5281,2
38.6331,2
38.7381,2
38.8431,2
38.9481,2
39.0531,2
39.1581,2
39.2631,2
39.3681,2
39.4731,2
39.5781,2
39.6831,2
39.7881,2
39.8931,2
39.9981,2
40.1031,2
40.2081,2
40.3131,2
40.4181,2
40.5231,2
40.6281,2
40.7331,2
40.8381,2
40.9431,2
41.0481,2
41.1531,2
41.2581,2
41.3631,2
41.4682,2
41.5731,2
41.6781,2
41.8041,2
41.9091,2
42.0141,2
42.1191,2
42.2241,2
42.3291,2
42.4341,2
42.5391,2
42.6441,2
42.7491,2
42.8541,2
42.9591,2
43.0641,2
43.1691,2
43.2741,2
43.3808,2
43.4841,2
43.5891,2
43.6941,2
43.7991,2
43.9041,2
44.0091,2
44.1141,2
44.2191,2
44.3241,2
44.4291,2
44.5341,2
44.6391,2
44.7441,2
44.8491,2
44.9541,2
45.0591,2
45.1641,2
45.2691,2
45.3741,2
45.4791,2
45.5841,2
45.6891,2
45.7941,2
45.8991,2
46.0041,2
46.1091,2
46.2141,2
46.3191,2
46.4241,2
46.5291,2
46.6341,2
46.7391,2
46.8441,2
46.9491,2
47.0541,2
47.1591,2
47.2641,2
47.3691,2
47.4741,2
47.5791,2
47.6841,2
47.7891,2
47.8941,2
47.9991,2
48.1041,2
48.2091,2
48.3141,2
48.4191,2
48.5241,2
48.6308,2
48.7341,2
48.8391,2
48.9441,2
49.0491,2
49.1541,2
49.2591,2
49.3641,2
49.4691,2
49.5741,2
49.6791,2
49.7841,2
49.8891,2
49.9941,2
50.0991,2
50.2041,2
50.3091,2
50.4141,2
50.5191,2
50.6241,2
50.7291,2
50.8341,2
50.9391,2
51.0441,2
51.1491,2
51.2541,2
51.3591,2
51.4641,2
51.5691,2
51.6741,2
51.7791,2
51.8841,2
51.9891,2
52.0941,2
52.1991,2
52.3041,2
52.4091,2
52.5141,2
52.6191,2
52.7241,2
52.8291,2
52.9341,2
53.0391,2
53.1441,2
53.2491,2
53.3541,2
53.4591,2
53.5641,2
53.6691,2
53.7741,2
53.8889,2
53.9841,2
54.0891,2
54.1941,2
54.2991,2
54.4041,2
54.5091,2
54.6141,2
54.7191,2
54.8241,2
54.9291,2
55.0341,2
55.1391,2
55.2441,2
55.3491,2
55.4541,2
55.5591,2
55.6641,2
55.7691,2
55.8741,2
55.9791,2
56.0841,2
56.1891,2
56.2941,2
56.3991,2
56.5041,2
56.6091,2
56.7141,2
56.8191,2
56.9241,2
57.0291,2
57.1341,2
57.2391,2
57.3441,2
57.4491,2
57.5541,2
57.6591,2
57.7641,2
57.8691,2
57.9741,2
58.0791,2
58.1841,2
58.2891,2
58.3941,2
58.4991,2
58.6041,2
58.7091,2
58.8141,2
58.9191,2
59.0241,2
59.1389,2
59.2341,2
59.3391,2
59.4441,2
59.5491,2
59.6541,2
59.7591,2
59.8641,2
59.9691,2
60.0741,2
60.1791,2
60.2841,2
60.3891,2
60.4941,2
60.5991,2
60.7041,2
60.8091,2
60.9141,2
61.0191,2
61.1241,2
61.2291,2
61.3341,2
61.4391,2
61.5441,2
61.6491,2
61.7541,2
61.8591,2
61.9641,2
62.0691,2
62.1741,2
62.2791,2
62.3841,2
62.4891,2
62.5941,2
62.6991,2
62.8041,2
62.9091,2
63.0141,2
63.1191,2
63.2241,2
63.3291,2
63.4341,2
63.5391,2
63.6441,2
63.7491,2
63.8541,2
63.9591,2
64.0641,2
64.1691,2
64.2741,2
64.3808,2
64.4841,2
64.5891,2
64.6941,2
64.7991,2
64.9041,2
65.0091,2
65.1141,2
65.2191,2
65.3241,2
65.4291,2
65.5341,2
65.6391,2
65.7441,2
65.8491,2
65.9541,2
66.0591,2
66.1641,2
66.2691,2
66.3741,2
66.4792,2
66.5841,2
66.6891,2
66.7941,2
66.8991,2
67.0041,2
67.1091,2
67.2141,2
67.3191,2
67.4241,2
67.5291,2
67.6341,2
67.7391,2
67.8441,2
67.9491,2
68.0541,2
68.1591,2
68.2641,2
68.3691,2
68.4741,2
68.5791,2
68.6841,2
68.7891,2
68.8941,2
68.9991,2
69.1041,2
69.2091,2
69.3141,2
69.4191,2
69.5241,2
69.6308,2
69.7341,2
69.8391,2
69.9441,2
70.0491,2
70.1541,2
70.2591,2
70.3641,2
70.4691,2
70.5741,2
70.6791,2
70.7841,2
70.8891,2
70.9941,2
71.0991,2
71.2041,2
71.3091,2
71.4141,2
71.5191,2
71.6241,2
71.7291,2
71.8341,2
71.9391,2
72.0441,2
72.1491,2
72.2541,2
72.3591,2
72.4641,2
72.5691,2
72.6741,2
72.7791,2
72.8841,2
72.9891,2
73.0941,2
73.1991,2
73.3041,2
73.4091,2
73.5141,2
73.6191,2
73.7241,2
73.8291,2
73.9341,2
74.0391,2
74.1441,2
74.2491,2
74.3541,2
74.4591,2
74.5641,2
74.6691,2
74.7741,2
74.881,2
74.9841,2
75.0891,2
75.1941,2
75.2991,2
75.4041,2
75.5091,2
75.6141,2
75.7191,2
75.8241,2
75.9291,2
76.0341,2
76.1391,2
76.2441,2
76.3491,2
76.4541,2
76.5591,2
76.6641,2
76.7691,2
76.8741,2
76.9791,2
77.0841,2
77.1891,2
77.2941,2
77.3991,2
77.5041,2
77.6091,2
77.7141,2
77.8191,2
77.9241,2
78.0291,2
78.1341,2
78.2391,2
78.3441,2
78.4491,2
78.5541,2
78.6591,2
78.7641,2
78.8691,2
78.9741,2
79.0791,2
79.1841,2
79.2891,2
79.3941,2
79.4991,2
79.6041,2
79.7091,2
79.8141,2
79.9191,2
80.0241,2
80.1308,2
80.2341,2
80.3391,2
80.4441,2
80.5491,2
80.6541,2
80.7591,2
80.8641,2
80.9691,2
81.0741,2
81.1791,2
81.2841,2
81.3891,2
81.4941,2
81.5991,2
81.7041,2
81.8091,2
81.9141,2
82.0191,2
82.1241,2
82.2291,2
82.3341,2
82.4391,2
82.5441,2
82.6491,2
82.7541,2
82.8591,2
82.9641,2
83.0691,2
83.1741,2
83.2791,2
83.3841,2
83.4892,2
83.5941,2
83.6991,2
83.8041,2
83.9091,2
84.0141,2
84.1191,2
84.2241,2
84.3291,2
84.4341,2
84.5391,2
84.6441,2
84.7491,2
84.8541,2
84.9591,2
85.0641,2
85.1691,2
85.2741,2
85.3808,2
85.4841,2
85.5891,2
85.6941,2
85.7991,2
85.9041,2
