#time, gyroZ[]
27.9231,0.00213053
28.0281,-0.0127832
28.1331,-0.00745685
28.2381,0.00852212
28.3431,-0.00426106
28.4481,0.00745685
28.5531,-0.00319579
28.6581,-0.00319579
28.7631,-0.00426106
28.8681,-0.00106526
28.9731,-0.0127832
29.0781,-0.00213053
29.1831,0
29.2881,-0.00532632
29.3931,-0.00106526
29.4981,-0.00426106
29.6031,-0.00213053
29.7081,-0.00213053
29.8131,-0.00213053
29.9181,-0.00213053
30.0231,-0.00213053
30.1281,-0.00213053
30.2331,-0.00213053
30.3381,-0.00213053
30.4431,-0.00213053
30.5481,-0.00213053
30.6531,-0.00213053
30.7581,-0.00106526
30.8631,-0.00213053
30.9681,-0.00106526
31.0731,-0.00319579
31.1781,-0.00319579
31.2831,-0.00106526
31.3881,-0.00319579
31.4931,0.201335
31.5981,0.0106526
31.7031,-0.00319579
31.8081,0.0127832
31.9131,-0.02024
32.0181,-0.0234358
32.1231,-0.00426106
32.2281,0.00639159
32.3331,-0.00213053
32.4381,0.0117179
32.5431,-0.00213053
32.6481,-0.0117179
32.7531,0.00213053
32.8581,0.00213053
32.9631,-0.00319579
33.0681,0.00106526
33.1731,-0.00106526
33.2781,-0.00319579
33.3831,-0.00213053
33.4881,-0.00213053
33.5931,-0.00106526
33.6981,-0.00213053
33.8031,-0.00213053
33.9081,-0.00213053
34.0131,-0.00106526
34.1181,-0.00106526
34.2231,-0.00213053
34.3281,-0.00106526
34.4331,-0.00426106
34.5381,-0.00106526
34.6431,-0.00319579
34.7481,0
34.8531,-0.00319579
34.9581,-0.00426106
35.0631,-0.00213053
35.1681,-0.00426106
35.2731,0.00319579
35.3781,-0.00319579
35.4831,-0.00106526
35.5881,-0.00213053
35.6931,-0.00106526
35.7981,-0.00213053
35.9031,-0.00213053
36.0081,-0.00213053
36.1131,-0.00213053
36.2181,-0.00213053
36.3231,-0.00106526
36.4281,-0.00106526
36.5331,-0.00213053
36.6381,-0.00213053
36.7431,-0.00213053
36.8481,-0.00213053
36.9531,-0.00213053
37.0581,-0.00213053
37.1631,-0.00213053
37.2681,-0.00213053
37.3731,-0.00213053
37.4781,-0.00213053
37.5831,-0.0149137
37.6881,0.00639159
37.7931,0.00319579
37.8981,0.0447411
38.0031,-0.00319579
38.1081,0.00639159
38.2131,0.00213053
38.3181,-0.00106526
38.4231,-0.00319579
38.5281,0.00319579
38.6331,0.00106526
38.7381,0
38.8431,-0.00532632
38.9481,-0.00319579
39.0531,0.00213053
39.1581,-0.00639159
39.2631,-0.00106526
39.3681,0
39.4731,-0.00639159
39.5781,0
39.6831,-0.00426106
