#time, EleL[]
289.935,0.752064
290.04,0.281637
290.145,0.0561815
290.25,0.106728
290.358,0.118382
290.46,0.068309
290.565,-0.00971813
290.67,-0.0750104
290.775,-0.11226
290.88,-0.10377
290.985,-0.0788051
291.09,-0.0623985
291.195,-0.0688733
291.3,-0.0707891
291.405,-0.0936242
291.51,-0.105251
291.615,-0.0903114
291.72,-0.0741907
291.825,-0.0716753
291.93,-0.0766441
292.035,-0.069438
292.14,-0.0922434
292.245,-0.0860117
292.35,-0.078858
292.455,-0.0846187
292.56,-0.0809172
292.665,-0.051107
292.77,-0.0591161
292.875,-0.0852059
292.98,-0.0854583
293.085,-0.0815855
293.19,-0.0694346
293.295,-0.0666679
293.4,-0.0594718
293.506,-0.0566718
293.61,-0.0625881
293.715,-0.0721342
293.82,-0.071726
293.925,-0.0721799
294.03,-0.0567364
294.135,-0.0473629
294.24,-0.0529018
294.345,-0.0609491
294.45,-0.0666769
294.561,-0.0555582
294.66,-0.0393906
294.765,-0.0199457
294.87,-0.0216185
294.975,-0.0402691
295.083,-0.045136
295.185,-0.042039
295.29,-0.0387008
295.395,-0.0286493
295.5,-0.00987257
295.608,-0.00222606
295.71,0.00249205
295.815,0.000809582
295.92,-0.00453773
296.025,-0.00268672
296.13,0.000124604
296.235,0.0140924
296.34,0.0440586
296.445,0.0485928
296.55,0.0402922
296.655,0.0318588
296.76,0.0287033
296.865,0.0251057
296.97,0.02657
297.075,0.0260988
297.18,0.0132519
297.285,-0.00227483
297.39,-0.0143315
297.495,-0.016036
297.6,0.00205942
297.705,0.00726531
297.81,0.00622251
297.915,-0.0283594
298.02,-0.0589053
298.125,-0.0615176
298.23,-0.0714991
298.335,-0.072779
298.44,-0.0538283
298.545,-0.0496657
298.65,-0.0493588
298.758,-0.0461508
298.86,-0.0626438
298.965,-0.0841641
299.07,-0.0932383
299.175,-0.0946004
299.28,-0.0854498
299.385,-0.0835354
299.491,-0.0835879
299.595,-0.0957029
299.7,-0.113942
299.805,-0.104071
299.91,-0.0941384
300.015,-0.0835951
300.12,-0.0828378
300.225,-0.0994828
300.332,-0.118882
300.435,-0.122809
300.54,-0.104971
300.645,-0.0922936
300.75,-0.0881893
300.855,-0.0795581
300.96,-0.0841458
301.065,-0.096239
301.17,-0.113681
301.275,-0.113269
301.383,-0.102498
301.485,-0.0925109
301.59,-0.0801394
301.695,-0.0889785
301.8,-0.10877
301.907,-0.11253
302.01,-0.105169
302.115,-0.0981761
302.22,-0.0903971
302.325,-0.0876355
302.431,-0.09357
302.535,-0.0994052
302.64,-0.109472
302.745,-0.10342
302.85,-0.0985934
302.955,-0.0958989
303.06,-0.0838276
303.165,-0.0979952
303.27,-0.100164
303.375,-0.111232
303.48,-0.116411
303.585,-0.10641
303.69,-0.0994509
303.795,-0.103163
303.9,-0.103343
304.005,-0.0926169
304.11,-0.101346
304.215,-0.111002
304.32,-0.110348
304.425,-0.101973
304.53,-0.0990048
304.635,-0.097977
304.74,-0.0977494
304.845,-0.0967128
304.95,-0.0983517
305.055,-0.100605
305.16,-0.0988524
305.265,-0.0998382
305.37,-0.103265
305.475,-0.101929
305.58,-0.106726
305.685,-0.091729
305.79,-0.0878132
305.895,-0.0960171
306,-0.105192
306.105,-0.107161
306.21,-0.109497
306.315,-0.0975484
306.42,-0.0885413
306.525,-0.0937837
306.633,-0.0865862
306.735,-0.0719246
306.84,-0.0738077
306.945,-0.08145
307.05,-0.100097
307.157,-0.07983
