#time, TarYaw[]
289.935,0
290.04,0
290.145,0
290.25,0
290.358,0
290.46,0
290.565,0
290.67,0
290.775,0
290.88,0
290.985,0
291.09,0
291.195,0
291.3,0
291.405,0
291.51,0
291.615,0
291.72,0
291.825,0
291.93,0
292.035,0
292.14,0
292.245,0
292.35,0
292.455,0
292.56,0
292.665,0
292.77,0
292.875,0
292.98,0
293.085,0
293.19,0
293.295,0
293.4,0
293.506,0
293.61,0
293.715,0
293.82,0
293.925,0
294.03,0
294.135,0
294.24,0
294.345,0
294.45,0
294.561,0
294.66,0
294.765,0
294.87,0
294.975,0
295.083,0
295.185,0
295.29,0
295.395,0
295.5,0
295.608,0
295.71,0
295.815,0
295.92,0
296.025,0
296.13,0
296.235,0
296.34,0
296.445,0
296.55,0
296.655,0
296.76,0
296.865,0
296.97,0
297.075,0
297.18,0
297.285,0
297.39,0
297.495,0
297.6,0
297.705,0
297.81,0
297.915,0
298.02,0
298.125,0
298.23,0
298.335,0
298.44,0
298.545,0
298.65,0
298.758,0
298.86,0
298.965,0
299.07,0
299.175,0
299.28,0
299.385,0
299.491,0
299.595,0
299.7,0
299.805,0
299.91,0
300.015,0
300.12,0
300.225,0
300.332,0
300.435,0
300.54,0
300.645,0
300.75,0
300.855,0
300.96,0
301.065,0
301.17,0
301.275,0
301.383,0
301.485,0
301.59,0
301.695,0
301.8,0
301.907,0
302.01,0
302.115,0
302.22,0
302.325,0
302.431,0
302.535,0
302.64,0
302.745,0
302.85,0
302.955,0
303.06,0
303.165,0
303.27,0
303.375,0
303.48,0
303.585,0
303.69,0
303.795,0
303.9,0
304.005,0
304.11,0
304.215,0
304.32,0
304.425,0
304.53,0
304.635,0
304.74,0
304.845,0
304.95,0
305.055,0
305.16,0
305.265,0
305.37,0
305.475,0
305.58,0
305.685,0
305.79,0
305.895,0
306,0
306.105,0
306.21,0
306.315,0
306.42,0
306.525,0
306.633,0
306.735,0
306.84,0
306.945,0
307.05,0
307.157,0
