#time, accY[]
27.9011,0.352068
28.0061,0.383203
28.1111,0.416733
28.2161,0.414338
28.3211,0.361648
28.4261,0.344883
28.5311,0.383203
28.6361,0.244292
28.7411,0.337698
28.8461,0.373623
28.9511,0.433499
29.0561,0.373623
29.1611,0.390388
29.2661,0.361648
29.3711,0.387993
29.4761,0.340093
29.5811,0.426313
29.6861,0.486189
29.7911,0.275427
29.8961,0.490979
30.0011,0.380808
30.1061,0.376018
30.2111,0.378413
30.3161,0.421523
30.4211,0.292192
30.5261,0.428709
30.6311,0.399968
30.7361,0.364043
30.8411,0.407153
30.9461,0.402363
31.0511,0.399968
31.1561,0.426313
31.2611,0.407153
31.3661,0.435894
31.4711,0.385598
31.5761,0.392783
31.6811,0.385598
31.7861,0.308958
31.8911,0.332908
31.9961,0.373623
32.1011,0.337698
32.2061,0.349673
32.3111,0.407153
32.4161,0.414338
32.5211,0.261057
32.6261,0.349673
32.7311,0.318538
32.8361,0.352068
32.9411,0.371228
33.0461,0.447869
33.1511,0.323328
33.2561,0.390388
33.3611,0.387993
33.4661,0.383203
33.5711,0.411943
33.6761,0.402363
33.7811,0.380808
33.8861,0.387993
33.9911,0.383203
34.0961,0.387993
34.2011,0.455054
34.3061,0.421523
34.4111,0.359253
34.5161,0.356858
34.6211,0.340093
34.7261,0.349673
34.8311,0.414338
34.9361,0.383203
35.0411,0.306563
35.1461,0.534089
35.2511,0.361648
35.3561,0.428709
35.4611,0.385598
35.5661,0.308958
35.6711,0.356858
35.7761,0.419128
35.8811,0.399968
35.9861,0.352068
36.0911,0.498164
36.1961,0.306563
36.3011,0.296982
36.4061,0.354463
36.5111,0.320933
36.6161,0.380808
36.7211,0.328118
36.8261,0.258662
36.9311,0.280217
37.0361,0.301772
37.1411,0.323328
37.2461,0.368833
37.3511,0.385598
37.4561,0.354463
37.5611,0.380808
37.6661,0.354463
37.7711,0.387993
37.8761,0.330513
37.9811,0.428709
38.0861,0.490979
38.1911,0.265847
38.2961,0.229922
38.4011,0.205972
38.5061,0.213157
38.6111,0.153281
38.7161,-0.141306
38.8211,0.263452
38.9261,0.261057
39.0311,0.261057
39.1361,0.241897
39.2411,0.203577
39.3461,0.210762
39.4511,0.220342
39.5561,0.193997
39.6611,0.256267
39.7871,0.237107
39.8921,0.292192
39.9971,0.376018
40.1021,0.239502
40.2071,0.366438
40.3121,0.220342
40.4171,0.361648
40.5221,0.474214
40.6271,0.268242
40.7321,0.234712
40.8371,0.220342
40.9421,0.172441
41.0471,0.246687
41.1521,0.316143
41.2571,0.253872
41.3621,0.294587
41.4671,0.387993
41.5721,0.337698
41.6771,0.296982
41.7821,0.275427
41.8871,0.356858
41.9921,0.366438
42.0971,0.213157
42.2021,0.217947
42.3071,0.261057
42.4121,0.244292
42.5171,0.313748
42.6221,0.301772
42.7271,0.256267
42.8321,0.155676
42.9371,0.232317
43.0421,0.292192
43.1471,0.294587
43.2521,0.210762
43.3571,0.289797
43.4621,0.282612
43.5671,0.237107
43.6721,0.287402
43.7771,0.340093
43.8821,0.275427
43.9871,0.270637
44.0921,0.505349
44.1971,0.323328
44.3021,0.318538
44.4071,0.325723
44.5121,0.447869
44.6171,0.340093
44.7221,0.311353
44.8271,0.285007
44.9321,0.268242
45.0371,0.213157
45.1421,0.201182
45.2471,0.222737
45.3521,0.392783
45.4571,0.385598
45.5621,0.222737
45.6671,0.177231
45.7721,0.232317
45.8771,0.294587
45.9821,0.215552
46.0871,0.225132
46.1921,0.390388
46.2971,0.227527
46.4021,0.241897
46.5071,0.129331
46.6121,-0.0239502
46.7171,0.340093
46.8221,0.217947
46.9271,0.265847
47.0321,0.241897
47.1371,0.534089
47.2421,0.280217
47.3471,0.201182
47.4521,0.232317
47.5571,0.203577
47.6621,0.373623
47.7671,0.261057
47.8721,0.311353
47.9771,0.344883
48.0821,0.182021
48.1871,0.203577
48.2921,0.182021
48.3971,0.234712
48.5021,0.270637
48.6071,0.244292
48.7121,0.241897
48.8171,0.241897
48.9221,0.213157
49.0271,0.304167
49.1321,0.263452
49.2371,0.249082
49.3421,0.251477
49.4471,0.186812
49.5521,0.0886157
49.6571,-0.0311353
49.7621,0.182021
49.8671,0.102986
49.9721,0.208367
50.0771,0.373623
50.1821,-0.0263452
50.2871,0.335303
50.3921,0.215552
50.4971,0.172441
50.6021,0.165256
50.7071,0.110171
50.8121,0.196392
50.9171,0.222737
51.0221,0.150886
51.1271,0.361648
51.2321,0.361648
51.3371,0.0502954
51.4421,0.229922
51.5471,0.220342
51.6521,0.222737
51.7571,0.143701
51.8621,0.129331
51.9671,0.232317
52.0721,0.438289
52.1771,0.256267
52.2821,0.263452
52.3871,0.292192
52.4921,0.229922
52.5971,0.105381
52.7021,0.148491
52.8071,0.162861
52.9121,0.244292
53.0171,0.0574805
53.1221,0.148491
53.2271,0.251477
53.3321,0.261057
53.4371,0.0766406
53.5421,0.249082
53.6471,0.153281
53.7521,0.0838257
53.8571,0.225132
53.9621,0.0574805
54.0671,-0.392783
54.1721,-0.364043
54.2771,0.00958008
54.3821,0.0646655
54.4871,-0.684976
54.5921,-0.182021
54.6971,0.306563
54.8021,-0.450264
54.9071,0.0191602
55.0121,0.253872
55.1171,0.737666
55.2221,0.0910107
55.3271,-0.00479004
55.4321,-0.0167651
55.5371,-0.205972
55.6421,0.0119751
55.7471,0.0215552
55.8521,0.179626
55.9571,-0.0119751
56.0621,0.0742456
56.1671,-0.0431104
56.2721,-0.0143701
56.3771,0.0766406
56.4821,0.0718506
56.5871,0.232317
56.6921,0.0742456
56.7971,-0.0359253
56.9021,0.0215552
57.0071,0.0526904
57.1121,-0.0263452
57.2171,0.119751
57.3221,0.0359253
57.4271,-0.146096
57.5321,0.0526904
57.6371,-0.0167651
57.7421,0.0838257
57.8471,-0.0550855
57.9521,-0.0742456
58.0571,-0.0886157
58.1621,0.222737
58.2671,-0.0239502
58.3721,0.0502954
58.4771,0.0455054
58.5821,-0
58.6871,0.0311353
58.7921,0.107776
58.8971,0.102986
59.0021,0.0718506
59.1071,0.0742456
59.2121,0.138911
59.3171,0.0718506
59.4221,0.119751
59.5271,0.0958008
59.6321,0.0718506
59.7371,-0.0479004
59.8421,0.0646655
59.9471,-0.00239502
60.0521,0.0742456
60.1571,0.0838257
60.2621,0.160466
60.3671,0.0934058
60.4721,0.225132
60.5771,-0.0191602
60.6821,0.131726
60.7871,0.210762
60.8921,0.105381
60.9971,0.155676
61.1021,0.124541
61.2071,0.119751
61.3121,0.126936
61.4171,0.227527
61.5221,0.114961
61.6271,0.148491
61.7321,0.0742456
61.8371,0.117356
61.9421,0.0814307
62.0471,0.112566
62.1521,0.117356
62.2571,-0.0383203
62.3621,-0.0574805
62.4671,-0.402363
62.5721,-0.0359253
62.6771,0.189207
62.7821,0.0934058
62.8871,0.182021
62.9921,0.184417
63.0971,0.170046
63.2021,0.162861
63.3071,0.177231
63.4121,0.0718506
63.5171,0.146096
63.6221,0.273032
63.7271,0.136516
63.8321,0.186812
63.9371,0.162861
64.0421,0.182021
64.1471,0.122146
64.2521,0.136516
64.3571,0.155676
64.4621,0.172441
64.5671,0.189207
64.6721,0.155676
64.7771,0.117356
64.8821,0.0910107
64.9871,0.0143701
65.0921,0.0407153
65.1971,-0.00479004
65.3021,0.0335303
65.4071,0.00239502
65.5121,0.0263452
65.6171,0.0263452
65.7221,0.0335303
65.8271,0.110171
65.9321,0.0119751
66.0371,0.0335303
66.1421,-0
66.2471,0.105381
66.3521,-0.0814307
66.4572,0.0287402
66.5621,0.102986
66.6671,0.148491
66.7721,0.148491
66.8771,0.0790356
66.9821,0.138911
67.0871,0.359253
67.1921,0.399968
67.2971,-0.0790356
67.4021,-0.201182
67.5071,0.155676
67.6121,-0.153281
67.7171,-0.0455054
67.8221,0.203577
67.9271,-0.112566
68.0321,0.179626
68.1371,0.0119751
68.2421,-0.421523
68.3471,-0.162861
68.4521,-0.105381
68.5571,-0.170046
68.6621,0.100591
68.7671,-0.100591
68.8721,-0.392783
68.9771,-0.332908
69.0821,-0.222737
69.1871,0.0838257
69.2921,-0.241897
69.3971,-0.0119751
69.5021,-0.172441
69.6071,-0.0119751
69.7121,0.100591
69.8171,-0.0646655
69.9221,-0.0383203
70.0271,-0.0502954
70.1321,0.0167651
70.2371,-0.229922
70.3421,-0.452659
70.4471,0.411943
70.5521,0.0526904
70.6571,-0.0622705
70.7621,0.318538
70.8671,0.114961
70.9721,0.251477
71.0771,0.330513
71.1821,-0.376018
71.2871,0.335303
71.3921,-0.433499
71.4971,-0.107776
71.6021,0.102986
71.7071,0.450264
71.8121,0.519719
71.9171,-0.0766406
72.0221,0.469424
72.1271,0.189207
72.2321,0.193997
72.3371,-0.459844
72.4421,-0.323328
72.5471,0.198787
72.6521,-0.0934058
72.7571,0.117356
72.8621,0.342488
72.9671,-0.316143
73.0721,1.59269
73.1771,-3.08958
73.2821,-1.82261
73.3871,1.60945
73.4921,-0.170046
73.5971,1.23344
73.7021,-0.0958008
73.8071,0.102986
73.9121,1.21188
74.0171,-1.61664
74.1221,-1.02267
74.2271,-0.61552
74.3321,-0.459844
74.4371,-0.881367
74.5421,-0.579595
74.6471,-0.61073
74.7521,-0.603545
74.8571,-0.775986
74.9621,-2.66326
75.0671,3.42967
75.1721,-0.0239502
75.2771,-0.366438
75.3821,-0.229922
75.4871,-0.58678
75.5921,-0.546064
75.6971,-0.371228
75.8021,-0.955613
75.9071,-0.332908
76.0121,-0.529299
76.1171,-0.102986
76.2221,0.155676
76.3271,0.114961
76.4321,-0.502954
76.5371,0.0263452
76.6421,-0.584385
76.7471,-0.0431104
76.8521,-0.306563
76.9571,1.17356
77.0621,-0.531694
77.1671,-0.55804
77.2721,0.0622705
77.3771,-0.186812
77.4821,-0.0335303
77.5871,0.469424
77.6921,-0.63947
77.7971,0.129331
77.9021,-0.656235
78.0071,0.263452
78.1121,-0.426313
78.2171,-0.354463
78.3221,-0.220342
78.4271,-0.457449
78.5321,-0.972378
78.6371,-0.311353
78.7421,-2.22018
78.8471,-0.0598755
78.9521,-1.09452
79.0571,-0.804727
79.1621,-0.845442
79.2671,-1.19511
79.3721,-1.72441
79.4771,-1.24541
79.5821,-0.778381
79.6871,-1.64298
79.7921,-1.13284
79.8971,-1.57353
80.0021,-0.840652
80.1071,-1.09692
80.2121,-0.390388
80.3171,0.330513
80.4221,-0.780776
80.5271,-0.785566
80.6321,-0.991538
80.7371,-0.517324
80.8421,-1.03944
80.9471,-0.673001
81.0521,-0.665815
81.1571,-0.931663
81.2621,-1.55916
81.3671,-1.01549
81.4721,-0.656235
81.5771,-0.0335303
81.6821,-0.512534
81.7871,-1.29092
81.8921,-0.742456
81.9971,-1.15919
82.1021,-1.37953
82.2071,-0.828677
82.3121,-1.71483
82.4171,-0.318538
82.5221,-0.792751
82.6271,-1.33163
82.7321,-0.881367
82.8371,1.23583
82.9421,-0.668211
83.0471,-0.182021
83.1521,-0.0766406
83.2571,-0.543669
83.3621,-1.13524
83.4671,-1.37953
83.5721,-0.888552
83.6771,-0.948428
83.7821,-0.268242
83.8871,-1.17835
83.9921,-0.435894
84.0971,-0.958008
84.2021,-0.826282
84.3071,-1.0083
84.4121,-0.890947
84.5171,-1.02507
84.6221,-1.04183
84.7271,-1.00591
84.8321,-0.136516
84.9371,-0.641865
85.0421,-0.905317
85.1471,-1.50647
85.2521,0.146096
85.3571,-0.613125
85.4621,-0.706531
85.5671,-0.62031
85.6721,-0.756826
85.7771,-0.265847
85.8821,0.237107
85.9871,-1.66693
86.0921,-1.00112
86.1971,-0.754431
86.3021,-1.01309
86.4071,0.778381
86.5121,-2.00463
86.6171,-1.13284
86.7221,0.0239502
86.8271,-0.704136
86.9321,-1.2526
87.0371,-1.03944
87.1421,-1.20948
87.2471,-0.112566
87.3521,-0.467029
87.4571,-1.09931
87.5621,-0.268242
87.6671,-0.546064
87.7721,-0.380808
87.8771,-0.383203
87.9821,-0.378413
88.0871,-0.364043
88.1921,-0.378413
88.2971,-0.383203
88.4021,-0.378413
88.5071,-0.373623
88.6121,-0.354463
88.7171,-0.376018
88.8221,-0.371228
88.9271,-0.373623
89.0321,-0.344883
89.1371,-0.342488
89.2421,-0.364043
89.3471,-0.356858
89.4521,-0.359253
89.5571,-0.352068
89.6621,-0.359253
89.7671,-0.347278
89.8721,-0.354463
89.9771,-0.347278
90.0821,-0.359253
90.1871,-0.364043
90.2921,-0.349673
90.3971,-0.330513
90.5021,-0.337698
90.6071,-0.352068
90.7121,-0.332908
90.8171,-0.349673
90.9221,-0.344883
91.0271,-0.342488
91.1321,-0.361648
91.2371,-0.342488
91.3421,-0.340093
91.4471,-0.340093
