#time, accZ[]
27.9011,-10.3489
28.0061,-10.095
28.1111,-10.1621
28.2161,-10.313
28.3211,-10.313
28.4261,-10.3249
28.5311,-10.0064
28.6361,-10.1142
28.7411,-10.174
28.8461,-10.3585
28.9511,-10.1046
29.0561,-10.1669
29.1611,-10.3561
29.2661,-10.186
29.3711,-10.2914
29.4761,-10.2076
29.5811,-10.1812
29.6861,-10.3082
29.7911,-10.1357
29.8961,-10.4591
30.0011,-10.21
30.1061,-10.2483
30.2111,-10.2818
30.3161,-10.301
30.4211,-10.5261
30.5261,-10.3297
30.6311,-10.289
30.7361,-10.3225
30.8411,-10.2674
30.9461,-10.3249
31.0511,-10.2674
31.1561,-10.2555
31.2611,-10.277
31.3661,-10.2411
31.4711,-10.2914
31.5761,-10.2866
31.6811,-10.2746
31.7861,-10.4638
31.8911,-10.2555
31.9961,-10.3393
32.1011,-10.277
32.2061,-10.2914
32.3111,-10.3944
32.4161,-10.4758
32.5211,-10.313
32.6261,-10.1956
32.7311,-10.2315
32.8361,-10.1477
32.9411,-10.2627
33.0461,-10.2028
33.1511,-10.3201
33.2561,-10.2651
33.3611,-10.3058
33.4661,-10.2603
33.5711,-10.0184
33.6761,-10.2698
33.7811,-10.2722
33.8861,-10.3417
33.9911,-10.1094
34.0961,-10.3034
34.2011,-10.6842
34.3061,-10.2004
34.4111,-10.2794
34.5161,-10.2267
34.6211,-10.1405
34.7261,-10.1932
34.8311,-10.3776
34.9361,-10.2746
35.0411,-10.2076
35.1461,-10.7872
35.2511,-10.4399
35.3561,-10.277
35.4611,-10.2195
35.5661,-10.3249
35.6711,-10.3273
35.7761,-10.3728
35.8811,-10.1261
35.9861,-10.1261
36.0911,-9.73336
36.1961,-10.1142
36.3011,-10.3704
36.4061,-10.2651
36.5111,-10.5141
36.6161,-10.3345
36.7211,-10.3369
36.8261,-10.1716
36.9311,-10.2555
37.0361,-10.2315
37.1411,-10.1645
37.2461,-10.2914
37.3511,-10.2243
37.4561,-10.2052
37.5611,-10.301
37.6661,-10.4351
37.7711,-9.98484
37.8761,-10.3106
37.9811,-10.3561
38.0861,-10.4423
38.1911,-10.4111
38.2961,-10.3106
38.4011,-10.2866
38.5061,-10.4255
38.6111,-10.1405
38.7161,-10.1956
38.8211,-10.3776
38.9261,-10.3345
39.0311,-10.3058
39.1361,-10.2794
39.2411,-10.2172
39.3461,-9.94891
39.4511,-10.4255
39.5561,-10.3034
39.6611,-10.2722
39.7871,-10.3417
39.8921,-10.1956
39.9971,-10.5812
40.1021,-9.98723
40.2071,-10.4135
40.3121,-10.2986
40.4171,-10.186
40.5221,-12.2865
40.6271,-10.6722
40.7321,-10.2579
40.8371,-10.7345
40.9421,-10.2052
41.0471,-10.4111
41.1521,-10.3656
41.2571,-10.1429
41.3621,-10.2914
41.4671,-10.4351
41.5721,-10.2052
41.6771,-10.3417
41.7821,-10.3944
41.8871,-11.2566
41.9921,-10.1381
42.0971,-10.2794
42.2021,-10.2722
42.3071,-10.1357
42.4121,-10.2028
42.5171,-10.3249
42.6221,-10.0974
42.7271,-10.4471
42.8321,-10.198
42.9371,-10.392
43.0421,-10.2794
43.1471,-10.507
43.2521,-10.3225
43.3571,-10.2028
43.4621,-10.2962
43.5671,-10.3537
43.6721,-10.2004
43.7771,-9.99921
43.8821,-10.2866
43.9871,-10.1453
44.0921,-10.6938
44.1971,-10.277
44.3021,-10.4207
44.4071,-10.2579
44.5121,-10.2148
44.6171,-10.289
44.7221,-10.3776
44.8271,-10.4758
44.9321,-10.3944
45.0371,-10.2291
45.1421,-9.82916
45.2471,-10.5549
45.3521,-10.4902
45.4571,-10.5572
45.5621,-9.92496
45.6671,-9.81958
45.7721,-10.1884
