#time, pitch[]
27.9011,0.0703905
28.0061,0.0456494
28.1111,0.0296413
28.2161,0.0098778
28.3211,-0.0038811
28.4261,-0.0185183
28.5311,-0.0278944
28.6361,-0.0422884
28.7411,-0.0509801
28.8461,-0.0582839
28.9511,-0.0657816
29.0561,-0.0739733
29.1611,-0.0817524
29.2661,-0.087371
29.3711,-0.0936545
29.4761,-0.0987668
29.5811,-0.104765
29.6861,-0.108582
29.7911,-0.113947
29.8961,-0.118736
30.0011,-0.122679
30.1061,-0.125141
30.2111,-0.127495
30.3161,-0.127312
30.4211,-0.124452
30.5261,-0.125455
30.6311,-0.127893
30.7361,-0.132412
30.8411,-0.136923
30.9461,-0.138931
31.0511,-0.141799
31.1561,-0.14576
31.2611,-0.148532
31.3661,-0.150929
31.4711,-0.152001
31.5761,-0.153285
31.6811,-0.154058
31.7861,-0.15227
31.8911,-0.153536
31.9961,-0.154367
32.1011,-0.154984
32.2061,-0.157573
32.3111,-0.160958
32.4161,-0.16115
32.5211,-0.159523
32.6261,-0.158692
32.7311,-0.159473
32.8361,-0.160304
32.9411,-0.161349
33.0461,-0.161799
33.1511,-0.161689
33.2561,-0.162009
33.3611,-0.162013
33.4661,-0.162191
33.5711,-0.162231
33.6761,-0.162817
33.7811,-0.162992
33.8861,-0.162869
33.9911,-0.163348
34.0961,-0.162643
34.2011,-0.16414
34.3061,-0.163777
34.4111,-0.163233
34.5161,-0.16333
34.6211,-0.162995
34.7261,-0.163325
34.8311,-0.164208
34.9361,-0.163967
35.0411,-0.164466
35.1461,-0.16598
35.2511,-0.165367
35.3561,-0.165795
35.4611,-0.164557
35.5661,-0.163031
35.6711,-0.162861
35.7761,-0.16267
35.8811,-0.163707
35.9861,-0.163842
36.0911,-0.164881
36.1961,-0.163768
36.3011,-0.163779
36.4061,-0.162628
36.5111,-0.16115
36.6161,-0.162424
36.7211,-0.164366
36.8261,-0.167402
36.9311,-0.170174
37.0361,-0.172911
37.1411,-0.171717
37.2461,-0.166648
37.3511,-0.162234
37.4561,-0.161495
37.5611,-0.162611
37.6661,-0.162441
37.7711,-0.162263
37.8761,-0.162134
37.9811,-0.163007
38.0861,-0.163334
38.1911,-0.159862
38.2961,-0.159119
38.4011,-0.159422
38.5061,-0.158894
38.6111,-0.157994
38.7161,-0.158786
38.8211,-0.161023
38.9261,-0.162144
39.0311,-0.166923
39.1361,-0.168307
39.2411,-0.168876
39.3461,-0.169454
39.4511,-0.167876
39.5561,-0.167597
39.6611,-0.166691
39.7871,-0.166534
39.8921,-0.163831
39.9971,-0.164167
40.1021,-0.161702
40.2071,-0.161152
40.3121,-0.159409
40.4171,-0.158245
40.5221,-0.161262
40.6271,-0.161148
40.7321,-0.159659
40.8371,-0.159008
40.9421,-0.15964
41.0471,-0.160429
41.1521,-0.158692
41.2571,-0.158644
41.3621,-0.158872
41.4671,-0.157297
41.5721,-0.155817
41.6771,-0.155289
41.7821,-0.155456
41.8871,-0.159713
41.9921,-0.159115
42.0971,-0.159314
42.2021,-0.158454
42.3071,-0.157091
42.4121,-0.156884
42.5171,-0.156668
42.6221,-0.157687
42.7271,-0.157425
42.8321,-0.153927
42.9371,-0.156912
43.0421,-0.155338
43.1471,-0.156569
43.2521,-0.157247
43.3571,-0.157722
43.4621,-0.158469
43.5671,-0.157208
43.6721,-0.15724
43.7771,-0.158236
43.8821,-0.158619
43.9871,-0.158497
44.0921,-0.158262
44.1971,-0.157618
44.3021,-0.157219
44.4071,-0.157244
44.5121,-0.156576
44.6171,-0.156635
44.7221,-0.156737
44.8271,-0.155601
44.9321,-0.1571
45.0371,-0.15556
45.1421,-0.152822
45.2471,-0.1553
45.3521,-0.155817
45.4571,-0.156142
45.5621,-0.156201
45.6671,-0.153256
45.7721,-0.154625
45.8771,-0.155179
45.9821,-0.155167
46.0871,-0.153147
46.1921,-0.152081
46.2971,-0.151875
46.4021,-0.150546
46.5071,-0.14789
46.6121,-0.149827
46.7171,-0.149579
46.8221,-0.151284
46.9271,-0.153359
47.0321,-0.153152
47.1371,-0.153764
47.2421,-0.154434
47.3471,-0.152534
