#time, EleR[]
258.722,-0.527095
258.83,-0.48656
258.932,-0.12811
259.037,0.0601939
259.142,0.00319248
259.247,-0.073083
259.352,-0.044127
259.457,0.0185671
259.562,0.0866331
259.667,0.110836
259.772,0.0781521
259.877,0.0494569
259.982,0.0374382
260.087,0.0209531
260.192,0.029881
260.297,0.0446052
260.405,0.032353
260.507,0.0259008
260.612,0.0220492
260.717,0.016055
260.822,0.00489454
260.927,0.0139051
261.032,0.0140769
261.137,0.0232828
261.242,0.0271402
261.347,0.0268028
261.452,0.0182153
261.557,-0.00633094
261.662,-0.0283766
261.767,-0.0247739
261.872,0.00102288
261.98,0.008373
262.082,0.0233719
262.187,-0.0173178
262.292,-0.0309701
262.397,-0.0278803
262.502,-0.014046
262.607,-0.00930716
262.712,-0.0146318
262.817,-0.0214893
262.922,-0.0280598
263.028,-0.0230375
263.132,-0.033564
263.237,-0.019661
263.342,-0.0261171
263.447,-0.0369608
263.552,-0.0306871
263.657,-0.0236532
263.762,-0.00799585
263.867,-0.0143362
263.972,8.68738e-06
264.077,-0.00452976
264.182,-0.00702759
264.287,-0.00497273
264.392,-0.00581999
264.497,0.00252138
264.604,0.00529829
264.707,-0.00248644
264.812,-0.0174225
264.917,-0.0047941
265.022,0.0125978
265.127,8.0213e-05
265.232,0.00758925
265.337,0.010192
265.443,0.000435341
265.547,0.0134763
265.652,0.0253679
265.757,0.0167042
265.862,-0.00372457
265.967,0.00293883
266.072,0.00796523
266.177,-0.0244594
266.282,-0.0114701
266.387,0.0257992
266.492,0.0186073
