#time, accX[]
27.9021,-0.735271
28.0071,-0.732876
28.1121,-0.687371
28.2171,-0.799937
28.3221,-0.58678
28.4271,-0.790356
28.5321,-0.730481
28.6371,-0.524509
28.7421,-0.768801
28.8471,-0.783171
28.9521,-0.728086
29.0571,-0.720901
29.1621,-0.732876
29.2671,-0.866997
29.3721,-0.759221
29.4771,-0.593965
29.5821,-0.711321
29.6871,-0.62989
29.7921,-0.637075
29.8971,-0.656235
30.0021,-0.730481
30.1071,-0.708926
30.2121,-0.704136
30.3171,-0.706531
30.4221,-0.730481
30.5271,-0.766406
30.6321,-0.656235
30.7371,-0.65863
30.8421,-0.706531
30.9471,-0.716111
31.0521,-0.730481
31.1571,-0.728086
31.2621,-0.720901
31.3671,-0.704136
31.4721,-0.699346
31.5771,-0.723296
31.6821,-0.718506
31.7871,-0.711321
31.8921,-0.708926
31.9971,-0.646655
32.1021,-0.677791
32.2071,-0.689766
32.3121,-0.617915
32.4171,-0.684976
32.5221,-0.706531
32.6271,-0.711321
32.7321,-0.732876
32.8371,-0.699346
32.9421,-0.694556
33.0471,-0.711321
33.1521,-0.718506
33.2571,-0.694556
33.3621,-0.718506
33.4671,-0.665815
33.5721,-0.59157
33.6771,-0.759221
33.7821,-0.761616
33.8871,-0.723296
33.9921,-0.696951
34.0971,-0.728086
34.2021,-0.61552
34.3071,-0.60594
34.4121,-0.737666
34.5171,-0.58199
34.6221,-0.692161
34.7271,-0.752036
34.8321,-0.64905
34.9371,-0.740061
35.0421,-0.718506
35.1471,-0.687371
35.2521,-0.387993
35.3571,-0.656235
35.4621,-0.673001
35.5671,-0.706531
35.6721,-0.646655
35.7771,-0.725691
35.8821,-0.65384
35.9871,-0.682581
36.0921,-0.699346
36.1971,-0.684976
36.3021,-0.775986
36.4071,-0.684976
36.5121,-0.754431
36.6171,-0.689766
36.7221,-0.826282
36.8271,-0.689766
36.9321,-0.725691
37.0371,-0.716111
37.1421,-0.728086
37.2471,-0.752036
37.3521,-0.761616
37.4571,-0.670605
37.5621,-0.759221
37.6671,-0.706531
37.7721,-0.752036
37.8771,-0.699346
37.9821,-0.687371
38.0871,-0.752036
38.1921,-0.684976
38.2971,-0.474214
38.4021,-0.531694
38.5071,-0.792751
38.6121,-0.764011
38.7171,-0.589175
38.8221,-0.749641
38.9271,-0.737666
39.0321,-0.670605
39.1581,-0.637075
39.2631,-0.764011
39.3681,-0.718506
39.4731,-0.63947
39.5781,-1.06578
39.6831,-0.651445
39.7881,-0.613125
39.8931,-0.603545
39.9981,-0.742456
40.1031,-0.589175
40.2081,-0.747246
40.3131,-0.804727
40.4181,-0.661025
40.5231,-0.843047
40.6281,-0.701741
40.7331,-0.886157
40.8381,-0.747246
40.9431,-0.476609
41.0481,-0.613125
41.1531,-0.819097
41.2581,-0.512534
41.3631,-0.689766
41.4681,-0.857417
41.5731,-0.711321
41.6781,-0.773591
41.7831,-0.665815
41.8881,-0.747246
41.9931,-0.593965
42.0981,-0.814307
42.2031,-0.598755
42.3081,-0.55804
42.4131,-1.02986
42.5181,-0.689766
42.6231,-0.675396
42.7281,-0.661025
42.8331,-0.6251
42.9381,-0.59157
43.0431,-0.64905
43.1481,-0.62989
43.2531,-0.483794
43.3581,-0.55804
43.4631,-0.689766
43.5681,-0.696951
43.6731,-0.764011
43.7781,-0.55325
43.8831,-0.481399
43.9881,-0.390388
44.0931,-0.716111
44.1981,-0.64426
44.3031,-0.617915
44.4081,-0.598755
44.5131,-0.668211
44.6181,-0.804727
44.7231,-0.680186
44.8281,-0.838257
44.9331,-0.59636
45.0381,-0.668211
45.1431,-0.543669
45.2481,-0.730481
45.3531,-0.438289
45.4581,-0.749641
45.5631,-0.574805
45.6681,-0.546064
45.7731,-0.608335
45.8781,-0.443079
45.9831,-0.62989
46.0881,-0.555645
46.1931,-0.510139
46.2981,-0.661025
46.4031,-0.500559
46.5081,-0.589175
46.6131,-0.495769
46.7181,-0.227527
46.8231,-0.766406
46.9281,-0.646655
47.0331,-0.613125
47.1381,-0.756826
47.2431,-0.701741
47.3481,-0.701741
47.4531,-0.771196
47.5581,-0.603545
47.6631,-0.713716
47.7681,-0.646655
47.8731,-0.62989
47.9781,-0.579595
48.0831,-0.716111
48.1881,-0.687371
48.2931,-0.593965
48.3981,-0.62989
48.5031,-0.708926
48.6081,0.421523
48.7131,-0.670605
48.8181,-0.656235
48.9231,-0.579595
49.0281,-0.481399
49.1331,-0.821492
49.2381,-0.560435
49.3431,-0.57241
49.4481,-0.878972
49.5531,-0.826282
49.6581,-0.56762
49.7631,-0.66342
49.8681,-0.531694
49.9731,-0.507744
50.0781,-0.598755
50.1831,-0.61073
50.2881,-0.543669
50.3931,-0.517324
50.4981,-0.991538
50.6031,-0.193997
50.7081,-0.811912
50.8131,-0.608335
50.9181,-0.6251
51.0231,-0.646655
51.1281,-0.632285
51.2331,-0.617915
51.3381,-0.63947
51.4431,-0.61552
51.5481,-0.63468
51.6531,-0.637075
51.7581,-0.63468
51.8631,-0.62989
51.9681,-0.63468
52.0731,-0.632285
52.1781,-0.656235
52.2831,-0.63468
52.3882,-0.62031
52.4931,-0.63468
52.5981,-0.632285
52.7031,-0.637075
52.8081,-0.64426
52.9131,-0.64426
53.0181,-0.627495
53.1231,-0.632285
53.2281,-0.641865
53.3331,-0.62989
53.4381,-0.641865
53.5431,-0.64426
53.6481,-0.627495
53.7531,-0.627495
53.8581,-0.63468
53.9631,-0.651445
54.0681,-0.63468
54.1731,-0.637075
54.2781,-0.64426
54.3831,-0.64905
