#time, t[]
258.722,258721658
258.83,258830257
258.932,258931869
259.037,259036633
259.142,259141658
259.247,259246618
259.352,259351805
259.457,259456605
259.562,259561653
259.667,259666616
259.772,259771653
259.877,259876770
259.982,259981653
260.087,260086617
260.192,260191659
260.297,260296618
260.405,260405298
260.507,260506604
260.612,260611655
260.717,260716618
260.822,260821655
260.927,260926770
261.032,261031655
261.137,261136618
261.242,261241668
261.347,261346619
261.452,261451811
261.557,261556602
261.662,261661658
261.767,261766626
261.872,261871653
261.98,261980248
262.082,262081653
262.187,262186617
262.292,262291854
262.397,262396616
262.502,262501792
262.607,262606615
262.712,262711655
262.817,262816618
262.922,262921655
263.028,263027999
263.132,263131658
263.237,263236618
263.342,263341655
263.447,263446618
263.552,263551830
263.657,263656601
263.762,263761652
263.867,263866615
263.972,263971652
264.077,264076766
264.182,264181652
264.287,264286619
264.392,264391653
264.497,264496645
264.604,264604282
264.707,264706604
264.812,264811655
264.917,264916618
265.022,265021655
265.127,265126769
265.232,265231657
265.337,265336619
265.443,265442790
265.547,265546618
265.652,265652012
265.757,265756602
265.862,265861654
265.967,265966616
266.072,266071653
266.177,266176767
266.282,266281653
266.387,266386617
266.492,266491655
