#time, yaw[]
27.9021,5.50466
28.0071,5.53167
28.1121,5.56369
28.2171,5.5674
28.3221,5.54041
28.4271,5.56884
28.5321,5.56025
28.6371,5.55845
28.7421,5.56054
28.8471,5.55919
28.9521,5.55805
29.0571,5.55878
29.1621,5.56182
29.2671,5.56325
29.3721,5.56505
29.4771,5.56056
29.5821,5.5566
29.6871,5.55405
29.7921,5.55825
29.8971,5.5514
30.0021,5.55421
30.1071,5.5642
30.2121,5.56347
30.3171,5.56045
30.4221,5.56262
30.5271,5.56089
30.6321,5.55778
30.7371,5.55867
30.8421,5.56069
30.9471,5.55548
31.0521,5.55647
31.1571,5.5554
31.2621,5.5581
31.3671,5.55531
31.4721,5.5544
31.5771,5.55532
31.6821,5.5484
31.7871,5.55379
31.8921,5.55268
31.9971,5.55032
32.1021,5.5514
32.2071,5.54718
32.3121,5.54646
32.4171,5.54425
32.5221,5.5443
32.6271,5.53994
32.7321,5.54325
32.8371,5.54058
32.9421,5.54024
33.0471,5.53937
33.1521,5.53927
33.2571,5.54067
33.3621,5.54027
33.4671,5.54203
33.5721,5.54077
33.6771,5.53174
33.7821,5.53617
33.8871,5.51727
33.9921,5.52061
34.0971,5.51623
34.2021,5.52801
34.3071,5.52794
34.4121,5.52694
34.5171,5.52776
34.6221,5.52831
34.7271,5.52759
34.8321,5.53154
34.9371,5.52869
35.0421,5.5271
35.1471,5.52754
35.2521,5.5241
35.3571,5.52729
35.4621,5.52711
35.5671,5.53271
35.6721,5.52608
35.7771,5.52644
35.8821,5.52677
35.9871,5.52868
36.0921,5.5263
36.1971,5.52835
36.3021,5.52524
36.4071,5.52976
36.5121,5.52883
36.6171,5.52825
36.7221,5.52608
36.8271,5.52518
36.9321,5.5272
37.0371,5.5264
37.1421,5.52685
37.2471,5.52833
37.3521,5.52286
37.4571,5.5244
37.5621,5.52607
37.6671,5.52495
37.7721,5.52495
37.8771,5.52963
37.9821,5.52514
38.0871,5.52902
38.1921,5.53431
38.2971,5.53087
38.4021,5.52461
38.5071,5.52788
38.6121,5.52862
38.7171,5.52353
38.8221,5.52625
38.9271,5.52512
39.0321,5.52636
39.1581,5.5293
39.2631,5.52558
39.3681,5.52693
39.4731,5.51891
39.5781,5.52676
39.6831,5.5235
39.7881,5.51843
39.8931,5.52755
39.9981,5.52746
40.1031,5.52498
40.2081,5.52333
40.3131,5.5236
40.4181,5.52494
40.5231,5.52235
40.6281,5.52599
40.7331,5.52521
40.8381,5.52451
40.9431,5.52329
41.0481,5.51973
41.1531,5.52484
41.2581,5.52732
41.3631,5.52133
41.4681,5.52243
41.5731,5.52599
41.6781,5.52302
41.7831,5.51979
41.8881,5.51294
41.9931,5.51752
42.0981,5.5151
42.2031,5.5176
42.3081,5.51392
42.4131,5.51758
42.5181,5.52536
42.6231,5.52024
42.7281,5.52275
42.8331,5.52293
42.9381,5.52119
43.0431,5.51875
43.1481,5.51806
43.2531,5.51857
43.3581,5.51528
43.4631,5.51432
43.5681,5.5189
43.6731,5.51797
43.7781,5.51774
43.8831,5.51117
43.9881,5.51734
44.0931,5.52393
44.1981,5.52435
44.3031,5.52557
44.4081,5.52232
44.5131,5.52284
44.6181,5.52292
44.7231,5.51947
44.8281,5.52445
44.9331,5.52447
45.0381,5.52469
45.1431,5.52809
45.2481,5.52131
45.3531,5.52267
45.4581,5.5208
45.5631,5.52784
45.6681,5.52401
45.7731,5.52378
45.8781,5.52558
45.9831,5.5262
46.0881,5.52622
46.1931,5.52663
46.2981,5.52536
46.4031,5.52527
46.5081,5.52415
46.6131,5.52569
46.7181,5.52706
46.8231,5.52925
46.9281,5.52985
47.0331,5.52626
47.1381,5.52363
47.2431,5.5256
47.3481,5.52381
47.4531,5.52564
47.5581,5.52777
47.6631,5.52415
47.7681,5.52885
47.8731,5.53071
47.9781,5.53112
48.0831,5.53689
48.1881,5.5368
48.2931,5.53708
48.3981,5.5354
48.5031,5.53478
48.6081,5.53175
48.7131,5.53362
48.8181,5.53412
48.9231,5.5355
49.0281,5.53469
49.1331,5.53195
49.2381,5.53199
49.3431,5.53538
49.4481,5.53531
49.5531,5.53498
49.6581,5.5297
49.7631,5.53451
49.8681,5.52982
49.9731,5.53596
50.0781,5.52955
50.1831,5.52854
50.2881,5.52611
50.3931,5.52592
50.4981,5.52314
50.6031,5.5257
50.7081,5.52801
50.8131,5.52869
